"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2018","76.91","78.58","79.48","75.06","122.37M","-3.48%"
"06/01/2018","79.68","72.12","81.00","71.15","156.80M","10.97%"
"05/01/2018","71.80","67.98","73.49","66.64","129.57M","4.99%"
"04/01/2018","68.39","65.97","70.00","63.21","159.27M","2.93%"
"03/01/2018","66.44","67.24","67.69","63.89","174.07M","-0.88%"
"02/01/2018","67.03","67.67","70.25","62.09","160.32M","-1.74%"
"01/01/2018","68.22","62.85","68.83","62.55","157.81M","9.06%"
"12/01/2017","62.55","60.42","65.18","59.24","198.53M","3.53%"
"11/01/2017","60.42","55.42","61.21","54.59","182.96M","9.87%"
"10/01/2017","54.99","52.16","57.25","50.35","247.78M","6.06%"
"09/01/2017","51.85","53.00","54.16","51.03","212.31M","-1.82%"
"08/01/2017","52.81","59.00","60.53","52.06","174.95M","-10.57%"
"07/01/2017","59.05","58.37","60.00","57.00","158.13M","0.08%"
"06/01/2017","59.00","53.06","59.71","50.79","275.43M","11.34%"
"05/01/2017","52.99","55.43","55.45","50.81","223.45M","-4.37%"
"04/01/2017","55.41","55.74","56.69","54.50","137.92M","-0.57%"
"03/01/2017","55.73","57.86","59.00","53.76","249.52M","-2.50%"
"02/01/2017","57.16","52.98","58.42","52.05","178.37M","8.05%"
"01/01/2017","52.90","51.99","54.12","51.63","175.93M","4.07%"
"12/01/2016","50.83","50.11","53.35","50.06","215.47M","1.52%"
"11/01/2016","50.07","50.50","51.89","49.01","166.22M","-0.22%"
"10/01/2016","50.18","52.54","53.06","50.00","190.33M","-4.69%"
"09/01/2016","52.65","57.67","59.18","52.12","230.97M","-8.66%"
"08/01/2016","57.64","55.73","60.33","54.28","181.04M","3.86%"
"07/01/2016","55.50","55.07","58.87","54.82","166.88M","0.54%"
"06/01/2016","55.20","53.33","55.64","51.47","316.79M","-0.04%"
"05/01/2016","55.22","59.09","59.99","55.17","192.37M","-6.31%"
"04/01/2016","58.94","61.22","61.85","56.89","178.12M","-4.12%"
"03/01/2016","61.47","61.97","65.44","57.95","230.59M","-0.19%"
"02/01/2016","61.59","61.75","63.50","53.64","211.31M","-0.68%"
"01/01/2016","62.01","61.11","62.59","56.59","201.11M","-0.78%"
"12/01/2015","62.50","66.06","68.19","62.15","234.86M","-5.50%"
"11/01/2015","66.14","65.86","67.65","60.21","163.17M","0.95%"
"10/01/2015","65.51","61.58","66.76","60.50","177.93M","6.55%"
"09/01/2015","61.49","54.49","62.97","54.01","222.22M","10.04%"
"08/01/2015","55.88","57.76","58.86","47.25","169.81M","-3.01%"
"07/01/2015","57.61","54.47","57.97","54.29","126.94M","6.67%"
"06/01/2015","54.01","50.88","55.17","50.39","137.11M","6.25%"
"05/01/2015","50.83","49.94","52.75","49.71","114.09M","2.86%"
"04/01/2015","49.42","50.00","51.00","49.07","112.49M","-1.49%"
"03/01/2015","50.17","48.44","51.90","47.59","189.36M","3.31%"
"02/01/2015","48.56","46.34","48.70","45.35","138.93M","5.28%"
