"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2021","28.79","27.41","30.29","27.31","223.16M","5.34%"
"09/01/2021","27.33","24.58","27.89","24.17","231.93M","11.73%"
"08/01/2021","24.46","24.30","26.10","23.39","233.76M","1.16%"
"07/01/2021","24.18","27.12","27.23","22.64","247.08M","-8.48%"
"06/01/2021","26.42","26.77","28.49","26.08","251.55M","0.72%"
"05/01/2021","26.23","25.47","27.47","25.32","268.45M","4.25%"
"04/01/2021","25.16","24.47","25.95","24.09","333.75M","3.33%"
"03/01/2021","24.35","24.82","27.10","23.89","302.50M","-0.25%"
"02/01/2021","24.41","22.29","26.13","20.42","413.34M","9.86%"
"01/01/2021","22.22","21.09","25.55","20.55","307.26M","8.28%"
"12/01/2020","20.52","20.47","22.83","20.19","310.76M","4.91%"
"11/01/2020","19.56","15.82","22.10","15.52","382.29M","26.36%"
"10/01/2020","15.48","17.04","17.74","14.74","383.47M","-11.34%"
"09/01/2020","17.46","20.91","21.15","17.35","287.19M","-16.58%"
"08/01/2020","20.93","21.97","24.61","20.91","243.33M","-5.04%"
"07/01/2020","22.04","23.33","24.48","21.75","203.87M","-5.49%"
"06/01/2020","23.32","23.15","28.57","22.66","248.41M","0.78%"
"05/01/2020","23.14","22.92","24.73","21.19","218.89M","-2.77%"
"04/01/2020","23.80","25.23","27.55","21.28","375.06M","-2.42%"
"03/01/2020","24.39","31.55","33.18","15.51","558.17M","-22.05%"
"02/01/2020","31.29","35.90","37.78","29.71","225.50M","-13.40%"
"01/01/2020","36.13","38.04","40.08","35.87","171.89M","-4.27%"
"12/01/2019","37.74","37.52","38.25","36.50","141.40M","0.86%"
"11/01/2019","37.42","38.32","40.01","37.22","148.10M","-1.29%"
"10/01/2019","37.91","38.07","39.80","35.88","169.90M","-0.21%"
"09/01/2019","37.99","36.69","39.85","36.57","144.48M","2.81%"
"08/01/2019","36.95","39.05","39.46","35.73","171.58M","-7.02%"
"07/01/2019","39.74","42.62","42.63","38.66","159.36M","-4.70%"
"06/01/2019","41.70","41.24","42.70","40.32","100.20M","2.41%"
"05/01/2019","40.72","43.74","43.81","40.60","107.33M","-6.88%"
"04/01/2019","43.73","44.26","45.38","42.73","97.99M","0.02%"
"03/01/2019","43.72","42.64","44.97","41.84","100.89M","2.51%"
"02/01/2019","42.65","41.12","43.41","40.86","111.99M","3.72%"
"01/01/2019","41.12","37.47","41.67","37.40","127.82M","8.44%"
"12/01/2018","37.92","41.19","41.47","36.28","158.71M","-6.02%"
"11/01/2018","40.35","43.17","43.38","39.50","156.74M","-6.96%"
"10/01/2018","43.37","46.93","47.05","40.21","158.16M","-5.92%"
"09/01/2018","46.10","42.80","47.16","41.49","121.24M","7.51%"
"08/01/2018","42.88","44.60","45.10","41.30","133.32M","-4.90%"
"07/01/2018","45.09","45.28","47.25","43.71","128.02M","-1.25%"
"06/01/2018","45.66","46.17","47.57","44.05","135.94M","-0.35%"
"05/01/2018","45.82","44.97","47.83","44.06","150.56M","2.76%"
"04/01/2018","44.59","40.53","44.89","39.45","131.71M","9.99%"
"03/01/2018","40.54","38.81","40.67","38.33","107.67M","4.32%"
"02/01/2018","38.86","42.80","43.38","36.15","150.15M","-9.18%"
"01/01/2018","42.79","42.06","44.62","41.81","119.15M","1.81%"
"12/01/2017","42.03","39.86","42.23","39.22","81.42M","4.89%"
"11/01/2017","40.07","40.99","41.55","38.75","94.44M","-1.48%"
"10/01/2017","40.67","38.05","40.97","37.98","102.18M","5.83%"
