"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2023","61.98","60.75","62.31","59.01","78.21M","7.72%"
"03/01/2023","57.54","61.50","62.73","52.47","132.94M","-5.32%"
"02/01/2023","60.77","58.68","62.75","56.91","102.25M","3.33%"
"01/01/2023","58.81","57.47","60.14","54.97","82.82M","3.27%"
"12/01/2022","56.95","58.69","58.97","54.40","93.98M","-2.60%"
"11/01/2022","58.47","56.92","58.74","53.03","90.61M","5.11%"
"10/01/2022","55.63","51.45","56.73","49.72","118.21M","11.80%"
"09/01/2022","49.76","52.80","54.56","46.74","116.84M","-6.08%"
"08/01/2022","52.98","52.80","56.18","50.81","110.38M","-0.75%"
"07/01/2022","53.38","51.57","53.50","44.90","93.92M","2.08%"
"06/01/2022","52.29","59.63","61.67","48.64","119.22M","-11.70%"
"05/01/2022","59.22","52.78","60.85","52.31","113.00M","10.84%"
"04/01/2022","53.43","54.95","58.68","52.24","90.45M","-2.73%"
"03/01/2022","54.93","52.20","55.93","48.27","132.64M","4.85%"
"02/01/2022","52.39","51.59","56.13","50.68","87.68M","1.93%"
"01/01/2022","51.40","44.04","52.09","43.96","109.35M","18.43%"
"12/01/2021","43.40","43.02","45.12","41.23","97.66M","3.24%"
"11/01/2021","42.04","46.37","46.50","41.46","99.90M","-8.45%"
"10/01/2021","45.92","45.07","50.75","44.75","145.42M","3.03%"
"09/01/2021","44.57","39.97","45.41","39.01","118.71M","12.10%"
"08/01/2021","39.76","41.04","41.88","37.97","94.68M","-2.12%"
"07/01/2021","40.62","41.34","41.67","36.32","100.49M","0.54%"
"06/01/2021","40.40","39.33","42.38","38.88","116.49M","4.64%"
"05/01/2021","38.61","38.04","41.45","37.99","110.42M","1.61%"
"04/01/2021","38.00","39.65","40.58","37.73","107.31M","-3.09%"
"03/01/2021","39.21","41.08","44.50","38.79","112.51M","-4.44%"
"02/01/2021","41.03","36.89","43.19","35.73","108.31M","11.22%"
"01/01/2021","36.89","36.25","41.85","35.49","93.98M","4.98%"
"12/01/2020","35.14","35.23","38.87","34.71","104.45M","3.84%"
"11/01/2020","33.84","26.33","37.22","25.90","129.39M","32.45%"
"10/01/2020","25.55","24.63","27.19","23.07","143.69M","1.51%"
"09/01/2020","25.17","29.20","29.61","25.07","157.76M","-15.20%"
"08/01/2020","29.68","29.96","33.19","29.45","99.23M","-0.44%"
"07/01/2020","29.81","32.82","34.13","29.55","122.66M","-8.81%"
"06/01/2020","32.69","32.15","39.33","31.86","126.14M","2.32%"
"05/01/2020","31.95","31.85","34.82","28.98","136.60M","-3.56%"
"04/01/2020","33.13","36.58","40.35","31.96","187.91M","-5.04%"
"03/01/2020","34.89","44.06","46.02","21.25","290.62M","-20.76%"
"02/01/2020","44.03","51.38","53.09","42.11","116.07M","-15.57%"
"01/01/2020","52.15","59.46","61.17","51.83","80.41M","-11.58%"
"12/01/2019","58.98","57.63","59.53","56.03","56.86M","2.59%"
"11/01/2019","57.49","58.22","60.51","57.28","60.78M","-0.83%"
"10/01/2019","57.97","58.67","60.19","56.13","58.45M","-1.50%"
"09/01/2019","58.85","54.71","59.32","54.56","59.81M","5.85%"
"08/01/2019","55.60","59.56","60.00","54.78","73.06M","-11.59%"
"07/01/2019","62.89","66.36","66.36","62.44","43.12M","-3.35%"
"06/01/2019","65.07","62.37","66.48","61.81","44.52M","5.27%"
"05/01/2019","61.81","63.50","64.92","61.67","57.05M","-2.71%"
"04/01/2019","63.53","63.42","65.41","62.59","48.91M","1.50%"
"03/01/2019","62.59","62.23","64.74","60.30","55.98M","0.61%"
"02/01/2019","62.21","62.26","63.98","61.97","51.52M","0.78%"
