"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2013","124.91","122.87","125.65","118.25","116.22M","2.02%"
"11/01/2013","122.44","119.04","124.19","117.00","120.70M","2.07%"
"10/01/2013","119.96","121.27","122.01","114.44","141.36M","-1.27%"
"09/01/2013","121.50","121.34","126.43","119.01","102.74M","0.89%"
"08/01/2013","120.43","126.49","126.66","117.22","114.13M","-4.34%"
"07/01/2013","125.89","118.35","127.83","118.00","104.64M","6.38%"
"06/01/2013","118.34","122.35","124.12","116.02","123.71M","-3.59%"
"05/01/2013","122.75","121.25","127.40","120.05","155.43M","0.61%"
"04/01/2013","122.01","118.99","122.01","114.12","132.69M","2.68%"
"03/01/2013","118.82","116.73","121.56","115.95","114.55M","1.43%"
"02/01/2013","117.15","115.84","117.89","113.50","100.83M","1.74%"
"01/01/2013","115.15","110.27","117.50","108.74","119.45M","6.48%"
"12/01/2012","108.14","106.00","111.11","103.94","125.44M","2.32%"
"11/01/2012","105.69","110.02","111.69","100.66","128.43M","-4.13%"
"10/01/2012","110.24","116.92","118.38","109.03","129.46M","-5.42%"
"09/01/2012","116.56","112.03","118.53","110.59","117.91M","3.92%"
"08/01/2012","112.16","109.72","113.87","108.47","113.01M","2.35%"
"07/01/2012","109.58","105.59","110.82","103.29","134.29M","3.87%"
"06/01/2012","105.50","96.65","105.51","95.73","157.29M","7.31%"
"05/01/2012","98.31","106.74","108.79","96.68","162.18M","-7.74%"
"04/01/2012","106.56","106.85","108.79","100.51","119.32M","-0.61%"
"03/01/2012","107.21","109.17","112.28","104.85","146.99M","-1.75%"
"02/01/2012","109.12","104.42","110.92","102.68","131.00M","5.82%"
"01/01/2012","103.12","108.74","110.99","102.08","157.23M","-3.08%"
"12/01/2011","106.40","102.82","108.49","99.32","159.97M","3.48%"
"11/01/2011","102.82","101.47","109.00","92.29","224.75M","-2.12%"
"10/01/2011","105.05","91.93","110.01","86.68","207.53M","13.46%"
"09/01/2011","92.59","99.01","100.58","88.56","233.12M","-6.32%"
"08/01/2011","98.84","106.08","106.13","87.30","314.19M","-4.98%"
"07/01/2011","104.02","102.71","109.75","102.01","142.46M","1.15%"
"06/01/2011","102.84","104.73","104.95","97.00","175.67M","-1.97%"
"05/01/2011","104.91","109.48","109.58","99.61","170.83M","-4.14%"
"04/01/2011","109.44","108.29","109.94","103.04","132.89M","1.81%"
"03/01/2011","107.49","104.07","109.65","97.60","206.78M","3.60%"
"02/01/2011","103.75","95.63","103.94","95.17","181.45M","9.29%"
"01/01/2011","94.93","91.66","95.19","90.12","150.60M","4.03%"
"12/01/2010","91.25","82.15","92.39","81.75","157.97M","12.70%"
"11/01/2010","80.97","83.15","86.19","80.41","214.02M","-1.97%"
"10/01/2010","82.60","81.89","85.79","80.68","177.76M","1.91%"
"09/01/2010","81.05","75.36","82.19","75.24","168.35M","9.41%"
"08/01/2010","74.08","77.62","79.48","72.57","198.00M","-2.79%"
"07/01/2010","76.21","68.19","76.37","66.83","233.16M","12.30%"
"06/01/2010","67.86","73.56","77.25","67.80","295.89M","-8.14%"
"05/01/2010","73.87","81.96","83.41","70.80","298.33M","-9.30%"
"04/01/2010","81.44","76.40","83.14","76.34","207.14M","7.40%"
"03/01/2010","75.83","72.63","76.14","72.39","215.16M","4.88%"
"02/01/2010","72.30","72.70","74.58","69.55","229.42M","0.25%"
"01/01/2010","72.12","78.20","81.09","71.75","207.17M","-6.33%"
"12/01/2009","76.99","79.10","79.42","76.19","170.02M","-1.35%"
