"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2017","501.19","473.21","509.00","461.07","8.88M","6.45%"
"10/01/2017","470.83","447.73","489.79","446.87","12.36M","5.31%"
"09/01/2017","447.09","422.35","448.53","409.41","8.52M","6.70%"
"08/01/2017","419.01","429.67","431.92","408.62","10.58M","-1.76%"
"07/01/2017","426.53","425.92","442.83","420.20","10.95M","0.98%"
"06/01/2017","422.41","408.28","430.84","407.79","13.84M","3.22%"
"05/01/2017","409.24","387.20","409.58","377.85","13.42M","6.41%"
"04/01/2017","384.57","383.83","391.90","375.52","9.23M","0.28%"
"03/01/2017","383.51","394.25","399.17","368.00","10.74M","-1.02%"
"02/01/2017","387.46","375.21","393.72","365.83","10.86M","3.60%"
"01/01/2017","373.98","384.62","388.82","370.70","12.47M","-1.72%"
"12/01/2016","380.54","373.81","399.46","369.40","15.69M","2.63%"
"11/01/2016","370.79","343.36","380.30","337.43","15.31M","8.66%"
"10/01/2016","341.24","361.70","364.13","336.84","15.67M","-5.85%"
"09/01/2016","362.46","374.12","375.95","354.02","11.70M","-2.78%"
"08/01/2016","372.81","366.66","376.65","364.00","11.16M","1.79%"
"07/01/2016","366.25","342.03","367.22","329.58","10.94M","6.92%"
"06/01/2016","342.53","361.56","365.92","317.60","13.94M","-5.86%"
"05/01/2016","363.85","358.77","366.30","345.69","10.71M","2.11%"
"04/01/2016","356.33","337.27","369.33","326.93","12.90M","4.63%"
"03/01/2016","340.57","315.27","346.96","314.13","15.44M","9.17%"
"02/01/2016","311.96","311.91","321.72","286.52","17.98M","-0.73%"
"01/01/2016","314.26","333.04","336.10","280.55","22.46M","-7.71%"
"12/01/2015","340.52","362.94","364.81","314.62","17.66M","-6.38%"
"11/01/2015","363.72","353.66","364.87","342.47","12.75M","3.34%"
"10/01/2015","351.97","297.07","354.59","289.15","17.59M","18.32%"
"09/01/2015","297.47","293.73","316.74","291.00","19.07M","-1.65%"
"08/01/2015","302.47","336.67","339.14","275.00","15.95M","-10.06%"
"07/01/2015","336.32","350.00","356.01","333.64","16.24M","-2.79%"
"06/01/2015","345.98","366.08","367.27","343.85","12.68M","-5.41%"
"05/01/2015","365.78","366.53","372.95","361.05","8.60M","0.51%"
"04/01/2015","363.94","364.51","378.80","361.55","10.98M","-0.52%"
"03/01/2015","365.84","367.88","380.99","356.07","10.63M","-1.50%"
"02/01/2015","371.42","342.37","382.84","339.44","11.22M","9.08%"
"01/01/2015","340.51","357.98","362.03","338.55","11.53M","-4.77%"
"12/01/2014","357.56","356.72","368.64","334.60","11.08M","-0.42%"
"11/01/2014","359.08","342.94","360.84","337.05","9.02M","5.27%"
"10/01/2014","341.11","327.47","342.22","293.39","15.65M","3.90%"
"09/01/2014","328.32","332.41","336.88","320.55","11.62M","-0.67%"
"08/01/2014","330.53","300.70","337.65","299.34","11.80M","8.47%"
"07/01/2014","304.73","321.70","331.90","304.73","12.71M","-4.65%"
"06/01/2014","319.60","304.96","321.14","302.33","11.20M","4.82%"
"05/01/2014","304.90","299.98","307.36","294.66","10.90M","1.30%"
"04/01/2014","301.00","316.12","321.46","292.20","14.66M","-4.29%"
"03/01/2014","314.48","300.76","315.71","295.71","15.99M","3.16%"
"02/01/2014","304.84","297.05","308.90","284.78","14.51M","1.45%"
"01/01/2014","300.47","315.38","326.00","296.00","16.85M","-5.06%"
"12/01/2013","316.47","302.50","323.00","291.67","12.12M","4.53%"
"11/01/2013","302.75","300.92","309.85","294.37","9.88M","0.64%"
"10/01/2013","300.81","270.00","311.32","262.68","14.53M","11.16%"
"09/01/2013","270.62","265.00","285.43","259.42","13.31M","3.96%"
"08/01/2013","260.32","286.00","288.32","257.18","12.06M","-7.67%"
"07/01/2013","281.96","257.61","288.82","253.00","15.63M","9.78%"
"06/01/2013","256.85","279.94","282.91","240.60","22.64M","-8.01%"
"05/01/2013","279.20","265.38","298.14","260.69","14.78M","4.77%"
"04/01/2013","266.50","256.50","269.81","241.04","16.66M","3.74%"
"03/01/2013","256.88","238.17","259.57","233.80","15.22M","7.14%"
"02/01/2013","239.75","234.64","247.00","231.66","15.65M","1.47%"
"01/01/2013","236.28","210.62","238.62","208.77","18.80M","14.31%"
"12/01/2012","206.71","198.13","209.91","190.24","12.96M","4.91%"
"11/01/2012","197.04","189.52","198.88","185.20","15.13M","3.88%"
"10/01/2012","189.68","179.57","192.08","175.49","19.97M","6.38%"
"09/01/2012","178.30","176.70","185.46","175.29","11.59M","1.09%"
"08/01/2012","176.37","170.76","181.34","166.00","10.03M","3.59%"
"07/01/2012","170.26","169.81","176.95","163.85","16.09M","0.26%"
"06/01/2012","169.82","168.07","177.66","162.71","23.12M","-0.57%"
"05/01/2012","170.80","191.34","193.24","160.25","48.38M","-10.85%"
"04/01/2012","191.58","207.70","209.37","184.00","15.25M","-6.50%"
"03/01/2012","204.90","198.02","208.69","191.88","12.32M","2.96%"
