"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2021","413.35","379.44","419.81","372.82","52.46M","9.34%"
"09/01/2021","378.03","413.16","417.58","372.50","51.00M","-8.58%"
"08/01/2021","413.51","376.17","420.76","371.77","48.02M","10.30%"
"07/01/2021","374.88","380.70","385.33","349.00","53.71M","-1.23%"
"06/01/2021","379.53","377.70","393.26","348.13","61.46M","2.02%"
"05/01/2021","372.02","350.34","376.98","342.57","54.39M","6.76%"
"04/01/2021","348.45","324.30","353.83","322.97","64.00M","6.56%"
"03/01/2021","327.00","325.00","356.85","316.46","69.67M","2.35%"
"02/01/2021","319.48","272.66","335.81","272.00","56.42M","17.82%"
"01/01/2021","271.17","267.00","309.41","260.16","73.47M","2.83%"
"12/01/2020","263.71","231.96","263.93","231.35","57.50M","14.37%"
"11/01/2020","230.58","192.00","238.12","188.23","61.16M","21.97%"
"10/01/2020","189.04","201.53","214.89","185.52","71.88M","-5.94%"
"09/01/2020","200.97","203.60","215.23","185.87","79.08M","-1.90%"
"08/01/2020","204.87","198.49","216.95","196.53","56.66M","3.49%"
"07/01/2020","197.96","198.88","225.24","195.00","84.42M","0.17%"
"06/01/2020","197.62","197.31","222.98","188.51","77.47M","0.58%"
"05/01/2020","196.49","179.00","211.31","165.36","68.86M","7.13%"
"04/01/2020","183.42","146.10","193.72","141.67","85.00M","18.65%"
"03/01/2020","154.59","201.41","211.79","130.85","133.84M","-23.00%"
"02/01/2020","200.77","238.36","245.77","194.85","61.73M","-15.55%"
"01/01/2020","237.75","231.00","250.46","229.49","70.99M","3.40%"
"12/01/2019","229.93","220.97","232.21","210.00","46.56M","3.88%"
"11/01/2019","221.35","215.26","224.77","214.75","39.29M","3.74%"
"10/01/2019","213.38","207.01","219.28","193.99","61.97M","2.97%"
"09/01/2019","207.23","201.10","221.50","196.58","46.27M","1.63%"
"08/01/2019","203.91","219.35","219.95","193.71","43.40M","-7.37%"
"07/01/2019","220.13","208.00","222.24","203.54","52.01M","7.59%"
"06/01/2019","204.60","181.70","205.84","180.73","44.09M","12.12%"
"05/01/2019","182.49","206.40","208.75","182.31","51.16M","-11.38%"
"04/01/2019","205.92","194.00","209.97","193.61","63.47M","7.26%"
"03/01/2019","191.99","198.75","206.45","186.50","62.99M","-2.39%"
"02/01/2019","196.70","198.00","201.50","188.22","49.62M","-0.66%"
"01/01/2019","198.01","164.33","203.29","163.35","89.71M","18.53%"
"12/01/2018","167.05","194.00","195.66","151.70","99.80M","-12.40%"
"11/01/2018","190.69","225.76","234.06","188.12","84.62M","-15.39%"
"10/01/2018","225.37","226.22","231.40","208.40","79.10M","0.50%"
"09/01/2018","224.24","237.76","239.45","223.80","48.64M","-5.71%"
"08/01/2018","237.81","238.50","245.08","226.57","58.75M","0.16%"
"07/01/2018","237.43","219.75","239.73","218.89","62.27M","7.64%"
"06/01/2018","220.57","228.40","238.23","219.12","60.87M","-2.35%"
"05/01/2018","225.88","237.51","245.88","224.09","63.07M","-5.22%"
"04/01/2018","238.33","251.26","262.50","237.51","76.47M","-5.37%"
"03/01/2018","251.86","262.61","275.31","244.37","62.34M","-4.21%"
