"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2016","35.86","38.56","40.52","34.10","1.35B","-5.80%"
"01/01/2016","38.07","38.11","38.46","34.39","1.04B","-2.14%"
"12/01/2015","38.90","38.35","39.93","36.81","873.01M","1.99%"
"11/01/2015","38.14","36.89","39.15","36.57","751.55M","3.45%"
"10/01/2015","36.87","31.90","37.63","31.56","1.01B","15.51%"
"09/01/2015","31.92","31.69","34.10","30.89","871.53M","-1.46%"
"08/01/2015","32.39","32.88","35.20","29.65","1.11B","-1.47%"
"07/01/2015","32.88","27.18","35.67","26.99","1.37B","21.75%"
"06/01/2015","27.00","27.44","28.28","26.94","704.36M","-0.97%"
"05/01/2015","27.27","27.53","27.91","26.61","648.44M","-0.63%"
"04/01/2015","27.44","27.74","29.24","26.45","874.93M","-1.07%"
"03/01/2015","27.74","28.35","29.16","27.52","864.15M","-1.41%"
"02/01/2015","28.13","26.72","28.47","26.09","808.41M","4.67%"
"01/01/2015","26.88","26.63","27.27","24.55","1.06B","1.30%"
"12/01/2014","26.53","27.25","27.44","24.86","1.09B","-3.35%"
"11/01/2014","27.45","28.18","28.36","26.96","595.51M","-3.31%"
"10/01/2014","28.39","29.34","29.62","25.92","1.11B","-3.49%"
"09/01/2014","29.42","29.15","30.27","28.85","709.29M","1.04%"
"08/01/2014","29.12","28.93","29.89","28.37","582.36M","0.48%"
"07/01/2014","28.98","29.38","30.45","28.61","772.29M","-0.88%"
"06/01/2014","29.23","28.49","29.48","27.37","790.26M","2.28%"
"05/01/2014","28.58","26.71","28.88","25.55","829.36M","6.87%"
"04/01/2014","26.74","28.03","29.42","25.55","1.34B","-4.11%"
"03/01/2014","27.89","30.20","30.70","27.58","874.06M","-8.32%"
"02/01/2014","30.42","29.51","30.75","28.23","812.86M","2.94%"
"01/01/2014","29.55","27.91","29.69","27.08","1.09B","5.38%"
"12/01/2013","28.04","26.61","28.05","26.25","677.56M","5.77%"
"11/01/2013","26.52","25.82","26.73","25.15","525.53M","2.81%"
"10/01/2013","25.79","22.03","26.06","21.09","1.11B","17.66%"
"09/01/2013","21.92","21.38","22.67","21.37","662.94M","3.43%"
"08/01/2013","21.19","22.40","22.76","21.16","670.19M","-4.60%"
